fund,category,proposal,yes,no,votes_cast,requested amount,status,overall_score
Fund10,Development & Infrastructure,Enable use-cases that require frequent message signing by introducing a safe standard for message signing without wallet prompts,677174268,127610526,980,71720,FUNDED,3.5
Fund10,Development & Infrastructure,Paima onchain game integration of Frontend Game Engines & Novel Technology,659098881,153964410,1206,288000,FUNDED,3.26
Fund10,Development & Infrastructure,Enable apps and games built in the Cardano ecosystem to leverage ZK cryptography for privacy and scalability,628854923,136872165,1140,180000,FUNDED,3.6
Fund10,Development & Infrastructure,Allow Cardano users to call Sidechain smart contracts directly from their Cardano mainnet wallet,630997644,146834778,1144,179310.4,FUNDED,3.4
Fund10,Development & Infrastructure,Allow using NFTs from Cardano and other ecosystem in onchain games hosted in the Cardano ecosystem,614957828,131763117,1069,260000,FUNDED,3.78
Fund10,Development & Infrastructure,Enable apps and games that require large amounts of data to function cheaply while still maximizing availability and safety,595749017,123556535,1045,108000,FUNDED,3.77
Fund10,Development & Infrastructure,MLabs - Congested Testnet,418680553,44875360,556,90856,FUNDED,4.47
Fund10,Development & Infrastructure,MLabs - Re-think CIP-30 wallet interface standard,407185399,60528849,607,108572,FUNDED,4.2
Fund10,Development & Infrastructure,Cardanoscan.io Maintenance,360149899,21269457,770,31200,FUNDED,3.94
Fund10,Development & Infrastructure,MLabs - CEMScript SDK: get your DApp implementation from annotated on-chain logic state-machine,381678774,43211879,558,116714.4,FUNDED,4.34
Fund10,Development & Infrastructure,MLabs - DeNS (Decentralized Name System): Phase I,371481768,46277286,680,103140,FUNDED,4.75
Fund10,Development & Infrastructure,Sundae Labs Hydra Transaction Stream Plugin,435236239,145866158,848,235200,FUNDED,4.07
Fund10,Development & Infrastructure,Decentralized Minting | ADA Handle,404968887,138421620,858,262000,FUNDED,4.32
Fund10,Development & Infrastructure,Blockfrost SDKs refresh,304194447,40812484,498,60000,FUNDED,3.72
Fund10,Development & Infrastructure,Cardano Based Web3 Blockchain Center in Tokushima-Yoshinogawa Japan,459466628,217494204,799,96000,FUNDED,3.5
Fund10,Development & Infrastructure,"Koios Evolution: Enhancements, Infra Support & Maintenance",337354190,106084582,653,160000,FUNDED,4.87
Fund10,Development & Infrastructure,Anastasia Labs - Streamlining Development: A User-Friendly Smart Contract Library for Plutarch and Aiken Design Patterns & Efficiency,267831491,51618841,525,100000,FUNDED,4.47
Fund10,Development & Infrastructure,Enable Eternl - F10,366712766,158051433,1015,221520,FUNDED,3.74
Fund10,Development & Infrastructure,Blockfrost bootstrap,272149187,71476525,548,14000,FUNDED,4.42
Fund10,Development & Infrastructure,CIP-88 Refinements & Tooling,223520345,27765942,449,30200,FUNDED,4.05
Fund10,Development & Infrastructure,Spectrum Network | Cross-chain Messaging Protocol,302093721,116353446,906,284224,FUNDED,4.88
Fund10,Development & Infrastructure,Erlang SDK for Blockfrost API,229982026,49711393,382,12000,FUNDED,3.73
Fund10,Development & Infrastructure,Sundae Labs Hydra Ledger-only Mode,336294417,156805226,827,235200,FUNDED,3.91
Fund10,Development & Infrastructure,Community CIP Editor: 1 year budget (continued),239810850,100076278,349,51546.4,FUNDED,4.33
Fund10,Development & Infrastructure,CardanoShield: Protecting Cardano Wallet Users,244289901,110382487,645,100000,FUNDED,4.74
Fund10,Development & Infrastructure,Simple Node Sharing on Cardano,231683934,110372333,618,14320,FUNDED,4.54
Fund10,Development & Infrastructure,A Zero Knowledge Proof framework for Cardano based on Hydra and ZK-SNARKS,162459336,45929137,489,30000,FUNDED,4.62
