Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status
Fund08,?? On-Boarding ALL stakeholders,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvvC,4,100,25205168,0,15343063,9862105,YES,22200,NOT FUNDED,6141,USD,Over Budget
Fund08,".Ada - User, Wallet, and DNS",Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBww2,3.27,117,15298213,0,21110177,-5811964,NO,500000,NOT FUNDED,6608,USD,Approval Threshold
Fund08,.NET Blazor Web wallet Support,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBw8H,4.5,216,47166683,0,4361274,42805409,YES,2800,FUNDED,33050,USD,
Fund08,.NET CardanoSharp Â– Deserialization,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwvM,4.53,272,73656962,0,2876175,70780787,YES,3700,FUNDED,403020,USD,
Fund08,"""MINING"" educative board game",Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw3m,2.53,74,13971515,0,15208070,-1236555,NO,9420,NOT FUNDED,332,USD,Approval Threshold
Fund08,@energiasocial powered by cardano,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvjx,3.33,77,23029174,0,16203924,6825250,YES,25000,NOT FUNDED,5464,USD,Over Budget
Fund08,#CardanoBeach  ADA's city in Miami,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvu6,3.17,84,23453953,0,14008662,9445291,YES,37500,NOT FUNDED,6141,USD,Over Budget
Fund08,❖ Cardano Science on Networks,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvlE,3.67,74,23667238,0,13969145,9698093,YES,8900,NOT FUNDED,332,USD,Over Budget
Fund08,🔥Regulation-as-code for DApps,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBwIe,5,1057,183918374,0,8084229,175834145,YES,111100,FUNDED,688900,USD,
Fund08,$272Bn Carbon Credits on Cardano,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBwpb,4.53,157,62254749,0,6346633,55908116,YES,59000,FUNDED,252954,USD,
Fund08,₳GOV: Timelines and Treasury Data,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBu6I,3.44,89,27477555,0,12717257,14760298,YES,35000,NOT FUNDED,1780,USD,Over Budget
Fund08,"1,000+ projects on Interactive Map",Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvIH,4.78,292,72769816,0,11460314,61309502,YES,28800,FUNDED,369954,USD,
Fund08,100+ Plutus Trained Women,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvRD,4.56,281,50413010,0,17745799,32667211,YES,18000,NOT FUNDED,113,USD,Over Budget
Fund08,15 min Hello World Journey,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBvO3,4.17,313,43374843,0,28586489,14788354,YES,85600,NOT FUNDED,4773,USD,Over Budget
Fund08,21st century Agri supply chain,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBwe7,4.48,355,77113089,0,5488890,71624199,YES,22500,FUNDED,514300,USD,
Fund08,2Min Review by Japanese Voices,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBur0,4.21,149,31129464,0,22423036,8706428,YES,75516,NOT FUNDED,1160,USD,Over Budget
Fund08,2Min Review by Vietnamese Voices,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBurk,4.19,131,28142332,0,21851029,6291303,YES,56376,NOT FUNDED,1160,USD,Over Budget
Fund08,2Min Review by Voice for Busy Voter,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBuri,3.9,120,27685475,0,18666170,9019305,YES,50825,NOT FUNDED,6141,USD,Over Budget
