Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments
Fund09,500+ ₳Community Sent to Conferences,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzPv,5,1640,328906429,0,127000045,201906384,YES,420000,FUNDED,6509400,,USD,https://cardano.ideascale.com/a/dtd/413992-48088,413992,"F9: Dapps, Products & Integrations",26595,5,17
Fund09,OpenSource MetaMask<=>₳ Integration,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzP4,5,1701,324591571,0,32969674,291621897,YES,92000,FUNDED,858000,,USD,https://cardano.ideascale.com/a/dtd/414001-48088,414001,F9: Developer Ecosystem,26597,5,12
Fund09,Plural Voting and Identity for DAOs,DAOs <3 Cardano,https://app.ideascale.com/t/UM5UZBzP1,5,1857,384823670,0,11851670,372972000,YES,91000,FUNDED,909000,,USD,https://cardano.ideascale.com/a/dtd/413998-48088,413998,F9: DAOs <3 Cardano,26594,5,10
Fund09,IRONSKY NFT GAME | Build on Mobile,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0DT,5,819,118955716,0,140747821,-21792105,NO,88880,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/416954-48088,416954,"F9: Dapps, Products & Integrations",26595,5,9
Fund09,Learn to Earn Cardano Ecosystem,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1OS,5,1009,135184408,0,44617937,90566471,YES,28650,FUNDED,4509845,,USD,https://cardano.ideascale.com/a/dtd/421345-48088,421345,"F9: Dapps, Products & Integrations",26595,5,8
Fund09,ADABET.iO |Sports Betting MobileApp,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB05j,5,847,117375774,0,143454707,-26078933,NO,81015,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/420202-48088,420202,"F9: Dapps, Products & Integrations",26595,5,7
Fund09,ATALA Prism zKP + Hyperledger Aries,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBzQB,5,1130,195109823,0,26509623,168600200,YES,82000,FUNDED,728000,,USD,https://cardano.ideascale.com/a/dtd/414008-48088,414008,F9: Cross-Chain Collaboration,26598,5,7
Fund09,Daedalus Turbo - 10x Quicker Sync,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzgg,5,2000,299495215,0,235830058,63665157,YES,759000,FUNDED,2417978,,USD,https://cardano.ideascale.com/a/dtd/414953-48088,414953,"F9: Dapps, Products & Integrations",26595,5,7
Fund09,DAO-NET: Small Developer Funding,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1eH,5,512,84037800,0,22790179,61247621,YES,30000,FUNDED,11280,,USD,https://cardano.ideascale.com/a/dtd/422249-48088,422249,F9: Developer Ecosystem,26597,5,7
Fund09,ADABET.iO | Cardano Betting DApp,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzSL,5,1312,185136942,0,147204031,37932911,YES,125005,FUNDED,1574923,,USD,https://cardano.ideascale.com/a/dtd/414140-48088,414140,"F9: Dapps, Products & Integrations",26595,5,6
Fund09,ANIMETA | Anime Museum Metaverse,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzTN,5,953,154646357,0,148858133,5788224,NO,111033,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/414203-48088,414203,"F9: Dapps, Products & Integrations",26595,5,6
Fund09,FIRST-EVER MULTI-CREATURE METAVERSE,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0IH,5,677,101737313,0,137577843,-35840530,NO,91400,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417247-48088,417247,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,littlefish - Shaping Action,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzc0,5,733,96484517,0,135325367,-38840850,NO,98667,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/414729-48088,414729,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,RootsId Verifiable Credential,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB0sa,5,664,121130667,0,24696887,96433780,YES,18000,FUNDED,145760,,USD,https://cardano.ideascale.com/a/dtd/419400-48088,419400,F9: Developer Ecosystem,26597,5,5
Fund09,RootsWallet - Aries JS,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB0sM,5,553,111716897,0,91119129,20597768,YES,21000,NOT FUNDED,8435,Over Budget,USD,https://cardano.ideascale.com/a/dtd/419387-48088,419387,F9: Cross-Chain Collaboration,26598,5,5
Fund09,SDG Impact-Investment Token,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1U8,5,527,77000050,0,126379439,-49379389,NO,88600,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/421752-48088,421752,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,Trybbles NFT AR Pets Development,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1l4,5,528,70102059,0,123846637,-53744578,NO,86860,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/422724-48088,422724,"F9: Dapps, Products & Integrations",26595,5,5
Fund09,Vcoincheck Library (Phase 2),"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB0J4,4.96,689,160527458,0,47386379,113141079,YES,28500,FUNDED,179538,,USD,https://cardano.ideascale.com/a/dtd/417356-48088,417356,"F9: Grow East Asia, Grow Cardano",26602,4.96,15
Fund09,V2target-Dual target for ADA holder,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0Pb,4.96,557,73836041,0,126825078,-52989037,NO,67375,NOT FUNDED,3171,Approval Threshold,USD,https://cardano.ideascale.com/a/dtd/417693-48088,417693,"F9: Dapps, Products & Integrations",26595,4.96,8
Fund09,BLOCKTRUST identity wallet (PRISM),"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB01W,4.95,948,177564309,0,35966289,141598020,YES,45000,FUNDED,5299500,,USD,https://cardano.ideascale.com/a/dtd/419946-48088,419946,"F9: Dapps, Products & Integrations",26595,4.95,7
Fund09,PubWeave: Academic Publishing,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1qi,4.94,782,158109638,0,134707980,23401658,YES,214800,FUNDED,1025423,,USD,https://cardano.ideascale.com/a/dtd/423007-48088,423007,"F9: Dapps, Products & Integrations",26595,4.94,12
