Fund,Challenge,Proposal,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status,proposal_id,Title,Funding category,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund10,Atala PRISM Launch Ecosystem,"[1] Atala PRISM & Learning Communities. Empowering Education by Integrating SSI, DID, and Soulbound Tokens for Transformative Credentialing in the Atala PRISM Ecosystem",https://app.ideascaleapp.eu/t/UCNZdO3,4,148,"₳11,258,339",0,"₳28,861,409","-₳17,603,070",NO,"₳45,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,105096,"[1] Atala PRISM & Learning Communities. Empowering Education by Integrating SSI, DID, and Soulbound Tokens for Transformative Credentialing in the Atala PRISM Ecosystem",Atala PRISM: Launch Ecosystem,6,5,5,83.33%,100.00%,4.6,3.8,3.6
Fund10,Atala PRISM Launch Ecosystem,[C2VN] Accelerate Atala PRISM learning and adoption in Universities,https://app.ideascaleapp.eu/t/UCNZdJM,4.37,235,"₳39,632,297",0,"₳39,417,240","₳215,057",NO,"₳175,400",NOT FUNDED,"₳12,200",ADA,Approval Threshold,104749,[C2VN] Accelerate Atala PRISM learning and adoption in Universities,Atala PRISM: Launch Ecosystem,11,8,5,72.73%,62.50%,4.64,4.16,4.32
Fund10,Atala PRISM Launch Ecosystem,AcademiPRISM: Credential Verification with SSI on Cardano,https://app.ideascaleapp.eu/t/UCNZdNt,4.33,362,"₳33,869,854",0,"₳106,821,396","-₳72,951,542",NO,"₳280,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,105025,AcademiPRISM: Credential Verification with SSI on Cardano,Atala PRISM: Launch Ecosystem,4,2,2,50.00%,100.00%,4,4.5,4.5
Fund10,Atala PRISM Launch Ecosystem,"Add did:prism to Universal Resolver, Universal Registrar, and Godiddy.com",https://app.ideascaleapp.eu/t/UCNZdgD,3.42,156,"₳24,402,642",0,"₳36,321,557","-₳11,918,915",NO,"₳281,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,106082,"Add did:prism to Universal Resolver, Universal Registrar, and Godiddy.com",Atala PRISM: Launch Ecosystem,5,4,4,80.00%,100.00%,4,3.75,2.5
Fund10,Atala PRISM Launch Ecosystem,Advancing Taxi Booking Systems with SSI using Atala PRISM,https://app.ideascaleapp.eu/t/UCNZcc9,3.55,722,"₳21,726,088",0,"₳265,300,911","-₳243,574,823",NO,"₳450,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,102174,Advancing Taxi Booking Systems with SSI using Atala PRISM,Atala PRISM: Launch Ecosystem,9,8,7,88.89%,87.50%,3.89,3.46,3.31
Fund10,Atala PRISM Launch Ecosystem,AI-Assisted Pharmacies with Secure SSI Authentication,https://app.ideascaleapp.eu/t/UCNZcnD,4.36,368,"₳9,854,333",0,"₳105,972,192","-₳96,117,859",NO,"₳360,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,102788,AI-Assisted Pharmacies with Secure SSI Authentication,Atala PRISM: Launch Ecosystem,5,4,3,80.00%,75.00%,4.53,4.27,4.27
Fund10,Atala PRISM Launch Ecosystem,Atala Prism and Self-Sovereign Identity: An Education and Transparency Platform,https://app.ideascaleapp.eu/t/UCNZdpV,3.1,150,"₳6,005,927",0,"₳33,988,309","-₳27,982,382",NO,"₳75,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,106649,Atala Prism and Self-Sovereign Identity: An Education and Transparency Platform,Atala PRISM: Launch Ecosystem,8,8,7,100.00%,87.50%,3.77,2.63,2.89
Fund10,Atala PRISM Launch Ecosystem,Atala PRISM DID,https://app.ideascaleapp.eu/t/UCNZd0f,2.58,168,"₳26,855,918",0,"₳34,363,089","-₳7,507,171",NO,"₳72,001",NOT FUNDED,"₳12,200",ADA,Approval Threshold,107329,Atala PRISM DID,Atala PRISM: Launch Ecosystem,6,4,4,66.67%,100.00%,2,3.25,2.5
Fund10,Atala PRISM Launch Ecosystem,Atala PRISM Integration for Secure Ridesharing,https://app.ideascaleapp.eu/t/UCNZccw,3.3,708,"₳12,183,763",0,"₳263,813,522","-₳251,629,759",NO,"₳450,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,102161,Atala PRISM Integration for Secure Ridesharing,Atala PRISM: Launch Ecosystem,6,6,4,100.00%,66.67%,3.4,3.6,2.9
Fund10,Atala PRISM Launch Ecosystem,"Atala PRISM World Tour: Onboarding stakeholders through in person Web3 meetups, workshops, and events, aiding Digital Identifier comprehension, fostering adoption, and facilitating exploration of complex concepts",https://app.ideascaleapp.eu/t/UCNZdRA,3.73,235,"₳26,185,101",0,"₳41,912,223","-₳15,727,122",NO,"₳600,000",NOT FUNDED,"₳12,200",ADA,Approval Threshold,105225,"Atala PRISM World Tour: Onboarding stakeholders through in person Web3 meetups, workshops, and events, aiding Digital Identifier comprehension, fostering adoption, and facilitating exploration of complex concepts",Atala PRISM: Launch Ecosystem,6,5,5,83.33%,100.00%,4,3.8,3.4
