Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Category,Ccy,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund11,- Optim Finance OADA - Innovative ADA Synthetic . Supercharge DeFi with better ADA liquidity + Boosted yield,Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/optim-finance-oada-innovative-ada-synthetic-supercharge-defi-with-better-ada-liquidity-boosted-yield,3.6,596,154923575,28053376,0,154923575,YES,750000,NOT FUNDED,229529,Over Budget,Cardano Use Cases Product,ADA,113870,https://app.ideascaleapp.eu/t/UCNZflt,46,34,33,73.91%,97.06%,3.81,3.58,3.42
Fund11,: Enhancing the capacities of SMEs in Northern Ghana to take advantage of opportunities in the digital space in Ghana.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/enhancing-the-capacities-of-smes-in-northern-ghana-to-take-advantage-of-opportunities-in-the-digital-space-in-ghana,3.5,200,32435944,9769336,0,32435944,NO,30000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114414,https://app.ideascaleapp.eu/t/UCNZfuo,44,34,31,77.27%,91.18%,3.74,3.43,3.34
Fund11,"""Data-Driven Catalyst"": Toolkit for on-chain and off-chain data analytics & insight, optimize governance and prevent gaming and abuse",Catalyst Systems Improvements: Discovery,https://projectcatalyst.io/funds/11/catalyst-systems-improvements-discovery/data-driven-catalyst-toolkit-for-on-chain-and-off-chain-data-analytics-and-insight-optimize-governance-and-prevent-gaming-and-abuse,4.04,1252,164304913,23273038,0,164304913,YES,175000,FUNDED,116000,,Catalyst Systems Improvements D,ADA,114377,https://app.ideascaleapp.eu/t/UCNZfuC,54,37,21,68.52%,56.76%,4.15,4.09,3.89
Fund11,"""DevDAO"": grassroots developer services portal for freelance smart contract developers, audit and testing experts.",Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/devdao-grassroots-developer-services-portal-for-freelance-smart-contract-developers-audit-and-testing-experts,4.03,235,30178774,8861631,0,30178774,NO,182700,NOT FUNDED,8153,Approval Threshold,Cardano Open Developers,ADA,112720,https://app.ideascaleapp.eu/t/UCNZfR2,54,41,39,75.93%,95.12%,4.14,4.1,3.84
Fund11,(Dead-man-switch) Permission based Wallet,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/dead-man-switch-permission-based-wallet,3.67,352,47108599,12505463,0,47108599,YES,100000,FUNDED,1334353,,Cardano Use Cases Concept,ADA,114584,https://app.ideascaleapp.eu/t/UCNZfxb,88,70,39,79.55%,55.71%,3.96,3.56,3.48
Fund11,(Open Source) Token Gating Template and Developer-SDK,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/open-source-token-gating-template-and-developer-sdk,3.71,229,25020529,15758990,0,25020529,NO,70000,NOT FUNDED,8153,Approval Threshold,Cardano Open Developers,ADA,114520,https://app.ideascaleapp.eu/t/UCNZfwX,61,39,32,63.93%,82.05%,3.97,3.64,3.51
Fund11,[5PC] Cardano Education Video on TikTok for the Vietnamese Community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/5pc-cardano-education-video-on-tiktok-for-the-vietnamese-community,4.03,286,46275666,18730156,0,46275666,YES,15392,FUNDED,1687383,,Cardano Open Ecosystem,ADA,111977,https://app.ideascaleapp.eu/t/UCNZfFr,57,42,40,73.68%,95.24%,4.08,4.06,3.94
Fund11,"[5PC] Expanding the Cardano community in Vietnam with the video series 'Why Cardano?""",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/5pc-expanding-the-cardano-community-in-vietnam-with-the-video-series-why-cardano,4.1,289,33945381,12683673,0,33945381,NO,34704,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,110151,https://app.ideascaleapp.eu/t/UCNZelv,91,68,41,74.73%,60.29%,4.08,4.16,4.06
Fund11,[5PC] Project Catalyst TikTok Viral for the Vietnamese community,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/5pc-project-catalyst-tiktok-viral-for-the-vietnamese-community,3.85,281,38742084,16929855,0,38742084,NO,23088,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,110560,https://app.ideascaleapp.eu/t/UCNZesd,70,55,42,78.57%,76.36%,3.82,4.02,3.7
Fund11,[ADAXON] ADAByte: Byte-sized Programming Tutorials,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/adaxon-adabyte-byte-sized-programming-tutorials,4.08,218,27092630,12886367,0,27092630,NO,50000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113705,https://app.ideascaleapp.eu/t/UCNZfjB,58,43,41,74.14%,95.35%,4.26,4,3.98
