Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Ccy,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Funding category,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund12,: Multilingual Outreach Initiative for Cardano Blockchain Education,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/multilingual-outreach-initiative-for-cardano-blockchain-education,3.51,155,9614627,54703274,0,9614627,ADA,NO,44500,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,122683,https://app.ideascaleapp.eu/t/UCNZh8M,108,70,69,64.81%,98.57%,3.77,3.44,3.32
Fund12,.NET SDK for CardanoBI API,Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/net-sdk-for-cardanobi-api,3.83,288,35997387,35470007,0,35997387,ADA,NO,19950,NOT FUNDED,743,Approval Threshold,Cardano Open Developers,119199,https://app.ideascaleapp.eu/t/UCNZhCF,124,77,72,62.10%,93.51%,3.97,3.96,3.57
Fund12,""".lockdoc"" - Global Documentation Verification and Services",Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/lockdoc-global-documentation-verification-and-services,3.92,143,21674597,47484144,0,21674597,ADA,NO,100000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122995,https://app.ideascaleapp.eu/t/UCNZiDT,117,79,79,67.52%,100.00%,4.15,3.89,3.71
Fund12,"""Building an Inclusive Future: Enhancing Accessibility in Cardano Community Applications""",Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/building-an-inclusive-future-enhancing-accessibility-in-cardano-community-applications,3.55,154,10523233,45493054,0,10523233,ADA,NO,82000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122918,https://app.ideascaleapp.eu/t/UCNZiCD,100,58,58,58.00%,100.00%,3.81,3.47,3.36
Fund12,calling all students: join the cardano revolution - flyer distribution campaign,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/calling-all-students-join-the-cardano-revolution-flyer-distribution-campaign,3.40,141,7220449,44979086,0,7220449,ADA,NO,22300,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,120267,https://app.ideascaleapp.eu/t/UCNZhTl,106,68,67,64.15%,98.53%,3.61,3.42,3.18
Fund12,"""Cardano - A beginner's guide"" in German language",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-a-beginners-guide-in-german-language,3.80,179,18356262,48031483,0,18356262,ADA,NO,94200,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123260,https://app.ideascaleapp.eu/t/UCNZiHp,120,73,71,60.83%,97.26%,4.05,3.74,3.6
Fund12,“Cardano Compass”: Comparison Charts App @ Lido Nation,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/cardano-compass-comparison-charts-app-lido-nation,4.13,187,35038841,42017492,0,35038841,ADA,NO,93000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,120868,https://app.ideascaleapp.eu/t/UCNZhec,116,75,75,64.66%,100.00%,4.27,4.2,3.91
Fund12,"""Cardano: A Better Future"" Short Film Competition",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-a-better-future-short-film-competition,3.84,176,11454274,48464630,0,11454274,ADA,NO,73000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123389,https://app.ideascaleapp.eu/t/UCNZiJw,110,62,58,56.36%,93.55%,4.05,3.77,3.71
Fund12,"""Exploring New Horizons: High School Summer Camp for Innovation and Growth""",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/exploring-new-horizons-high-school-summer-camp-for-innovation-and-growth,3.84,162,25912782,31457901,0,25912782,ADA,NO,84000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121314,https://app.ideascaleapp.eu/t/UCNZhlv,113,76,75,67.26%,98.68%,4.06,3.71,3.76
Fund12,"""Fostering Local Blockchain Heroes: Igniting Student Leadership with the Cardano Ambassador Program""",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/fostering-local-blockchain-heroes-igniting-student-leadership-with-the-cardano-ambassador-program,3.62,147,10639077,48920472,0,10639077,ADA,NO,20500,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121989,https://app.ideascaleapp.eu/t/UCNZhwz,115,75,74,65.22%,98.67%,4.01,3.22,3.64
