fund,category,proposal,overall_score,votes_cast,yes,no,result,meets_approval_threshold,requested,status,reason_for_not_funded_status,challenge,unnamed:_6,unnamed:_4,unnamed:_2,fund_depletion,requested_$,unnamed:_1,unnamed:_3,reason_for_not_approved_status,requested_ada,abstain,unnamed:_5,fund_size:,approve
Fund10,Development & Infrastructure,Enable use-cases that require frequent message signing by introducing a safe standard for message signing without wallet prompts,,980,677174268,127610526,549563742,YES,,FUNDED,,,,,,8506300,,,,,179300,,,,
Fund10,Development & Infrastructure,Paima onchain game integration of Frontend Game Engines & Novel Technology,,1206,659098881,153964410,505134471,YES,,FUNDED,,,,,,7786300,,,,,720000,,,,
Fund10,Development & Infrastructure,Enable apps and games built in the Cardano ecosystem to leverage ZK cryptography for privacy and scalability,,1140,628854923,136872165,491982758,YES,,FUNDED,,,,,,7336300,,,,,450000,,,,
Fund10,Development & Infrastructure,Allow Cardano users to call Sidechain smart contracts directly from their Cardano mainnet wallet,,1144,630997644,146834778,484162866,YES,,FUNDED,,,,,,6888024,,,,,448276,,,,
Fund10,Development & Infrastructure,Allow using NFTs from Cardano and other ecosystem in onchain games hosted in the Cardano ecosystem,,1069,614957828,131763117,483194711,YES,,FUNDED,,,,,,6238024,,,,,650000,,,,
Fund10,Development & Infrastructure,Enable apps and games that require large amounts of data to function cheaply while still maximizing availability and safety,,1045,595749017,123556535,472192482,YES,,FUNDED,,,,,,5968024,,,,,270000,,,,
Fund10,Development & Infrastructure,MLabs - Congested Testnet,,556,418680553,44875360,373805193,YES,,FUNDED,,,,,,5740884,,,,,227140,,,,
Fund10,Development & Infrastructure,MLabs - Re-think CIP-30 wallet interface standard,,607,407185399,60528849,346656550,YES,,FUNDED,,,,,,5469454,,,,,271430,,,,
Fund10,Development & Infrastructure,Cardanoscan.io Maintenance,,770,360149899,21269457,338880442,YES,,FUNDED,,,,,,5391454,,,,,78000,,,,
Fund10,Development & Infrastructure,MLabs - CEMScript SDK: get your DApp implementation from annotated on-chain logic state-machine,,558,381678774,43211879,338466895,YES,,FUNDED,,,,,,5099668,,,,,291786,,,,
Fund10,Development & Infrastructure,MLabs - DeNS (Decentralized Name System): Phase I,,680,371481768,46277286,325204482,YES,,FUNDED,,,,,,4841818,,,,,257850,,,,
Fund10,Development & Infrastructure,Sundae Labs Hydra Transaction Stream Plugin,,848,435236239,145866158,289370081,YES,,FUNDED,,,,,,4253818,,,,,588000,,,,
Fund10,Development & Infrastructure,Decentralized Minting | ADA Handle,,858,404968887,138421620,266547267,YES,,FUNDED,,,,,,3598818,,,,,655000,,,,
Fund10,Development & Infrastructure,Blockfrost SDKs refresh,,498,304194447,40812484,263381963,YES,,FUNDED,,,,,,3448818,,,,,150000,,,,
Fund10,Development & Infrastructure,Cardano Based Web3 Blockchain Center in Tokushima-Yoshinogawa Japan,,799,459466628,217494204,241972424,YES,,FUNDED,,,,,,3208818,,,,,240000,,,,
Fund10,Development & Infrastructure,"Koios Evolution: Enhancements, Infra Support & Maintenance",,653,337354190,106084582,231269608,YES,,FUNDED,,,,,,2808818,,,,,400000,,,,
Fund10,Development & Infrastructure,Anastasia Labs - Streamlining Development: A User-Friendly Smart Contract Library for Plutarch and Aiken Design Patterns & Efficiency,,525,267831491,51618841,216212650,YES,,FUNDED,,,,,,2558818,,,,,250000,,,,
Fund10,Development & Infrastructure,Enable Eternl - F10,,1015,366712766,158051433,208661333,YES,,FUNDED,,,,,,2005018,,,,,553800,,,,
Fund10,Development & Infrastructure,Blockfrost bootstrap,,548,272149187,71476525,200672662,YES,,FUNDED,,,,,,1970018,,,,,35000,,,,
Fund10,Development & Infrastructure,CIP-88 Refinements & Tooling,,449,223520345,27765942,195754403,YES,,FUNDED,,,,,,1894518,,,,,75500,,,,
Fund10,Development & Infrastructure,Spectrum Network | Cross-chain Messaging Protocol,,906,302093721,116353446,185740275,YES,,FUNDED,,,,,,1183958,,,,,710560,,,,
Fund10,Development & Infrastructure,Erlang SDK for Blockfrost API,,382,229982026,49711393,180270633,YES,,FUNDED,,,,,,1153958,,,,,30000,,,,
Fund10,Development & Infrastructure,Sundae Labs Hydra Ledger-only Mode,,827,336294417,156805226,179489191,YES,,FUNDED,,,,,,565958,,,,,588000,,,,
Fund10,Development & Infrastructure,Community CIP Editor: 1 year budget (continued),,349,239810850,100076278,139734572,YES,,FUNDED,,,,,,437092,,,,,128866,,,,
Fund10,Development & Infrastructure,CardanoShield: Protecting Cardano Wallet Users,,645,244289901,110382487,133907414,YES,,FUNDED,,,,,,187092,,,,,250000,,,,
Fund10,Development & Infrastructure,Simple Node Sharing on Cardano,,618,231683934,110372333,121311601,YES,,FUNDED,,,,,,151292,,,,,35800,,,,
Fund10,Development & Infrastructure,A Zero Knowledge Proof framework for Cardano based on Hydra and ZK-SNARKS,,489,162459336,45929137,116530199,YES,,FUNDED,,,,,,76292,,,,,75000,,,,
Fund10,Development & Infrastructure,Open Transaction Chaining tooling to speed up Cardano dApps - By MuesliSwap,,579,228889843,116810788,112079055,YES,,FUNDED,,,,,,32092,,,,,44200,,,,
Fund10,Development & Infrastructure,Efficient atomic cross chain swaps between Cardano and other blockchains,,715,247993171,146904160,101089011,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,180000,,,,
Fund10,Development & Infrastructure,Cardano Advancement,,380,152455363,56057380,96397983,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,72000,,,,
Fund10,Development & Infrastructure,AdaStat Cardano Explorer for Pre-prod and Preview test networks,,383,128451062,34231270,94219792,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,50000,,,,
Fund10,Development & Infrastructure,Arweave Gateway API,,556,209470389,117793086,91677303,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,161860,,,,
Fund10,Development & Infrastructure,Typhon Wallet Mobile App,,713,229205391,141855357,87350034,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,600000,,,,
Fund10,Development & Infrastructure,Atlas 2.0 - PAB improvements and advanced features better leveraging UTxOs to build next-generation dApps,,874,210163240,126364310,83798930,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,386666,,,,
Fund10,Development & Infrastructure,"Marlowe Hub: Unifying Platform for Marlowe Smart Contracts, Oracles, and Mediators, Auditors and Developers",,551,207555907,126692750,80863157,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,240000,,,,
Fund10,Development & Infrastructure,Staking Baskets Platform - Incentivizing Cardano's Decentralization,,402,149972922,75607472,74365450,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,345000,,,,
Fund10,Development & Infrastructure,Cardano FUDS CIP & Implementation,,422,138394604,65517149,72877455,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,111500,,,,
Fund10,Development & Infrastructure,Open-Source Ledger Nano X Flutter SDK and VESPR Wallet Integration,,586,186367922,119026643,67341279,YES,,NOT FUNDED,Over Budget,,,,,32092,,,,,270000,,,,
